name of the buyer,if the project is a R&D mission
"Bank of China Limited, Macau Branch",0
Bank of China Macau Branch,1
Bank of Communications Hong Kong Branch,0
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",0
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",0
"Global Online (Beijing) Technology Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
Beijing industry university,1
Wuhan University,0
Northeast Normal University,0
Jiangxi Electric Power Research Institute,1
Xi'an University of Electronic Science and Technology,0
University of Science and Technology Beijing,1
Beijing Normal University,1
Beijing Normal University,0
Beijing Normal University,1
National Disaster Reduction Center of the Ministry of Civil Affairs,0
"Pasco Systems Division, Co., Ltd.",1
"Bosco Co., Ltd.",1
"Tokyo Digital Map Co., Ltd.",1
"Pasco Systems Division, Co., Ltd.",1
"PASCO Co., Ltd. Strategic Planning Department",1
"Pasco Research and Development Center Co., Ltd.",1
"DeNA Co., Ltd.",0
3D Data conversion tool technology development,1
"Bosco Co., Ltd.",1
"PASCO System Division, Co., Ltd.",1
"PASCO Co., Ltd. Disaster Prevention Technology Department",1
Bosco Technology General Headquarters Remote Sensing Technology Department,1
"PASCO Research and Development Center Co., Ltd.",1
"Tokyo Digital Map Co., Ltd.",1
"PASCO Co., Ltd. International Strategy Office",1
"GameHub Incorporated(Game Hub Co., Ltd.)",1
Hinge Global Resources Inc.,1
"Double Bridge Technologies,Inc.",1
Hinge Global Resources Inc.,1
"Double Bridge Technologies,Inc.",1
"NeuLion, Inc.",1
TechExcel,1
TechExcel,1
TechExcel,1
JOHNSON SECURITY LTD,1
JOHNSON SECURITY LTD,1
Analogix International,1
"Analogix International, Inc",1
Analogix International,1
Analogix International,1
Analogix International,1
"Analogix International, Inc",1
"NeuLion, Inc. (New Poetry Co., Ltd.)",1
"TechExcel, Inc. (Texel Corporation of the United States)",1
TechExcel,1
TechExcel,1
"TechExcel, Inc. (Texel Corporation of the United States)",1
TechExcel,1
Analogex International,1
International Business Machines Corporation,1
International Business Machines Corporation,1
International Business Machines Corporation,1
International Business Machines Corporation,1
International Business Machines Corporation,1
International Business Machines Corporation,1
International Business Machines Corporation,1
Guangxi Zhuang Autonomous Region Remote Sensing Center,0
National Disaster Reduction Center of the Ministry of Civil Affairs,0
Hunan Provincial Geological Environment Monitoring Station,0
Chengdu Institute of Geology and Mineral Resources,0
Hubei Province Jingzhou Center for Disease Control and Prevention,1
National Disaster Reduction Center of the Ministry of Civil Affairs,0
National Disaster Reduction Center of the Ministry of Civil Affairs,0
"Institute of Agricultural Resources and Agricultural Zoning, Chinese Academy of Agricultural Sciences",0
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",0
Fujian Geological Surveying and Mapping Institute,0
Liaoning Provincial Water Conservancy and Hydropower Survey and Design Institute,0
Anhui Electric Power Design Institute,0
Jiangsu Provincial Institute of Surveying and Mapping Engineering,1
Anhui Geological Survey Institute,0
"State Forestry Administration Survey, Planning and Design Institute",0
"Institute of Mineral Resources, Chinese Academy of Geological Sciences",0
National Disaster Reduction Center of the Ministry of Civil Affairs,0
China National Petroleum Corporation Science and Technology Research Institute,0
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,1
Jiangsu Provincial Bureau of Surveying and Mapping,0
Guangxi Zhuang Autonomous Region Remote Sensing Center,0
National Satellite Ocean Application Center,0
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",1
"Institute of Geographic Sciences and Natural Resources, Chinese Academy of Sciences",0
Jiangsu Provincial Environmental Monitoring Center,0
National Disaster Reduction Center of the Ministry of Civil Affairs,1
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,1
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",1
Jiangsu Provincial Institute of Surveying and Mapping Engineering,0
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,1
National Disaster Reduction Center of the Ministry of Civil Affairs,1
China Urban Planning and Design Institute,0
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",1
Office of the National Disaster Risk Reduction Council,1
"Shanghai Chenlu Information Technology Co., Ltd.",0
"Shanghai Chenlu Information Technology Co., Ltd.",0
"Beijing Yisheng Health E-Commerce Co., Ltd.",0
"Shanghai Qingu Network Technology Co., Ltd.",0
"Shanghai Qingu Network Technology Co., Ltd.",0
"Hangzhou Wangfa Network Information Technology Co., Ltd.",0
"Hangzhou Wangfa Network Information Technology Co., Ltd.",0
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",0
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",0
"Beijing Pocket Network Technology Co., Ltd.",0
"Beijing Hexun Online Information Consulting Service Co., Ltd.",0
"Beijing Qianoak Internet Technology Development Co., Ltd.",0
"Beijing Zhichi Power Information Technology Co., Ltd.",0
"Hangzhou Pantone Network Technology Co., Ltd.",0
"Shenzhen Caixun Technology Co., Ltd.",0
"Beijing Zhongwang Online Advertising Co., Ltd.",0
"Beijing Jufang Advertising Co., Ltd.",0
"Beijing Fengli Information Technology Co., Ltd.",0
