name of the buyer,paystyle
"Bank of China Limited, Macau Branch",1
Bank of China Macau Branch,1
Bank of Communications Hong Kong Branch,1
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",2
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",2
"Global Online (Beijing) Technology Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",1
Beijing industry university,2
Wuhan University,2
Northeast Normal University,2
Jiangxi Electric Power Research Institute,2
Xi'an University of Electronic Science and Technology,2
University of Science and Technology Beijing,1
Beijing Normal University,1
Beijing Normal University,1
Beijing Normal University,1
National Disaster Reduction Center of the Ministry of Civil Affairs,1
"Pasco Systems Division, Co., Ltd.",2
"Bosco Co., Ltd.",2
"Tokyo Digital Map Co., Ltd.",1
"Pasco Systems Division, Co., Ltd.",2
"PASCO Co., Ltd. Strategic Planning Department",2
"Pasco Research and Development Center Co., Ltd.",1
"DeNA Co., Ltd.",2
3D Data conversion tool technology development,2
"Bosco Co., Ltd.",2
"PASCO System Division, Co., Ltd.",1
"PASCO Co., Ltd. Disaster Prevention Technology Department",1
Bosco Technology General Headquarters Remote Sensing Technology Department,1
"PASCO Research and Development Center Co., Ltd.",1
"Tokyo Digital Map Co., Ltd.",2
"PASCO Co., Ltd. International Strategy Office",1
"GameHub Incorporated(Game Hub Co., Ltd.)",1
Hinge Global Resources Inc.,1
"Double Bridge Technologies,Inc.",1
Hinge Global Resources Inc.,1
"Double Bridge Technologies,Inc.",1
"NeuLion, Inc.",1
TechExcel,1
TechExcel,1
TechExcel,3
JOHNSON SECURITY LTD,2
JOHNSON SECURITY LTD,2
Analogix International,1
"Analogix International, Inc",1
Analogix International,1
Analogix International,1
Analogix International,1
"Analogix International, Inc",1
"NeuLion, Inc. (New Poetry Co., Ltd.)",1
"TechExcel, Inc. (Texel Corporation of the United States)",3
TechExcel,3
TechExcel,1
"TechExcel, Inc. (Texel Corporation of the United States)",3
TechExcel,1
Analogex International,1
International Business Machines Corporation,2
International Business Machines Corporation,2
International Business Machines Corporation,2
International Business Machines Corporation,3
International Business Machines Corporation,3
International Business Machines Corporation,3
International Business Machines Corporation,3
Guangxi Zhuang Autonomous Region Remote Sensing Center,2
National Disaster Reduction Center of the Ministry of Civil Affairs,2
Hunan Provincial Geological Environment Monitoring Station,2
Chengdu Institute of Geology and Mineral Resources,1
Hubei Province Jingzhou Center for Disease Control and Prevention,2
National Disaster Reduction Center of the Ministry of Civil Affairs,2
National Disaster Reduction Center of the Ministry of Civil Affairs,2
"Institute of Agricultural Resources and Agricultural Zoning, Chinese Academy of Agricultural Sciences",2
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",2
Fujian Geological Surveying and Mapping Institute,2
Liaoning Provincial Water Conservancy and Hydropower Survey and Design Institute,1
Anhui Electric Power Design Institute,1
Jiangsu Provincial Institute of Surveying and Mapping Engineering,2
Anhui Geological Survey Institute,2
"State Forestry Administration Survey, Planning and Design Institute",1
"Institute of Mineral Resources, Chinese Academy of Geological Sciences",1
National Disaster Reduction Center of the Ministry of Civil Affairs,2
China National Petroleum Corporation Science and Technology Research Institute,2
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,2
Jiangsu Provincial Bureau of Surveying and Mapping,1
Guangxi Zhuang Autonomous Region Remote Sensing Center,1
National Satellite Ocean Application Center,2
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",2
"Institute of Geographic Sciences and Natural Resources, Chinese Academy of Sciences",1
Jiangsu Provincial Environmental Monitoring Center,1
National Disaster Reduction Center of the Ministry of Civil Affairs,1
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,2
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",2
Jiangsu Provincial Institute of Surveying and Mapping Engineering,1
Chinese Academy of Sciences China Remote Sensing Satellite Ground Station,2
National Disaster Reduction Center of the Ministry of Civil Affairs,1
China Urban Planning and Design Institute,1
"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences",1
Office of the National Disaster Risk Reduction Council,1
"Shanghai Chenlu Information Technology Co., Ltd.",3
"Shanghai Chenlu Information Technology Co., Ltd.",3
"Beijing Yisheng Health E-Commerce Co., Ltd.",3
"Shanghai Qingu Network Technology Co., Ltd.",3
"Shanghai Qingu Network Technology Co., Ltd.",3
"Hangzhou Wangfa Network Information Technology Co., Ltd.",3
"Hangzhou Wangfa Network Information Technology Co., Ltd.",3
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",3
"Huizhou Qiaoxing Telecommunications Industry Co., Ltd.",3
"Beijing Pocket Network Technology Co., Ltd.",3
"Beijing Hexun Online Information Consulting Service Co., Ltd.",3
"Beijing Qianoak Internet Technology Development Co., Ltd.",3
"Beijing Zhichi Power Information Technology Co., Ltd.",3
"Hangzhou Pantone Network Technology Co., Ltd.",3
"Shenzhen Caixun Technology Co., Ltd.",3
"Beijing Zhongwang Online Advertising Co., Ltd.",3
"Beijing Jufang Advertising Co., Ltd.",3
"Beijing Fengli Information Technology Co., Ltd.",3
"Beijing Wanxuntong Technology Development Co., Ltd.",3
"Guangzhou Aochuang Information Technology Co., Ltd.",3
"Beijing Fengxing Online Technology Co., Ltd.",3
"Shenzhen Tiance Interactive Advertising Co., Ltd.",3
"Beijing Fengyang Tianlang Advertising Co., Ltd.",3
"Beijing Xinrui Guangguang Technology Co., Ltd.",3
"Beijing Zhitong Wuxian Technology Co., Ltd.",3
"Shanghai Freex Network Technology Co., Ltd.",3
"Hangzhou Ali Technology Co., Ltd.",3
"Chongqing Xingge Network Technology Co., Ltd.",1
"Beijing Kunlun Wanwei Technology Co., Ltd.",3
"Shanghai Shangpai Network Technology Co., Ltd.",3
"Shanghai Eos Network Technology Co., Ltd.",3
"Beijing Hongfan Netshen Data Network Technology Co., Ltd.",3
"Beijing Sohu Donglin Advertising Co., Ltd.",3
"Hangzhou Dayi Business Network Co., Ltd.",2
"Hangzhou Dayi Business Network Co., Ltd.",3
"Guangzhou Youzhiyi Information Technology Co., Ltd.",2
"Shenzhen Beautiful Alliance Technology Co., Ltd.",2
"Beijing Quna Information Technology Co., Ltd.",2
"Huizhou Yixun Information Technology Co., Ltd.",2
"Shanghai Xixun Media Co., Ltd.",2
"Qile Wuxian (Beijing) Technology Development Co., Ltd.",2
"Hangzhou Dayi Business Network Co., Ltd.",2
"Hangzhou Dayi Business Network Co., Ltd.",2
"Xiamen Yigao Network Technology Co., Ltd.",2
"Xiamen Yigao Network Technology Co., Ltd.",2
"Xiamen Yigao Network Technology Co., Ltd.",2
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",3
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",3
"Beijing Chuangshi Miracle Advertising Co., Ltd.",2
"Zhengzhou Jiji Information Technology Co., Ltd.",2
"Beijing Tiantian Kuangguang Network Technology Co., Ltd.",2
"Chongqing Discourse Technology Co., Ltd.",3
"Beijing Tianwei Integrity E-Commerce Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",3
"Shenzhen Baiyi Information Technology Co., Ltd.",2
Beijing Bai Ruide Kitchen Cabinet Factory,2
Beijing Construction Timber Factory,2
"Shenzhen Beautiful Alliance Technology Co., Ltd.",2
"Shenzhen Beautiful Alliance Technology Co., Ltd.",2
"Shenzhen Beautiful Alliance Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
Anhui Paimeng Investment Group,2
"Nanjing Xiangwang Network Technology Co., Ltd.",2
"Nanjing Xiangwang Network Technology Co., Ltd.",3
"Beijing Ruibo Yangxin International Culture Media Co., Ltd.",2
"Emeishan Tourism Co., Ltd.",3
"Nanning April Network Technology Co., Ltd.",2
Guangzhou Distance Education Center,2
"Beijing Dongtian Education Technology Co., Ltd.",2
"Beijing Tangyou Advertising Co., Ltd.",2
"Suzhou Zhifu Yingxing Information Technology Co., Ltd.",2
"Suzhou Junyue Travel Agency Co., Ltd.",2
"Suzhou Tangren Digital Technology Co., Ltd.",2
"Beijing Wanguo Fayuan Information Technology Co., Ltd.",2
"Shanghai Giant Network Technology Co., Ltd.",2
"Wangda Advertising Media (Shanghai) Co., Ltd.",2
"Beijing Dixin Xintian Trading Co., Ltd.",2
"Shijian International Trading (Shanghai) Co., Ltd.",2
Jiangsu Radio and Television Station (Group) Jiangsu Radio and Television Website,2
"Beijing Wuzunwu Technology Development Co., Ltd.",2
"Beijing Guotong Kexin Technology Development Co., Ltd.",2
"Athletic World (Beijing) Network Technology Co., Ltd.",2
"Athletic World (Beijing) Network Technology Co., Ltd.",2
"Hangzhou Meike Digital Network Technology Co., Ltd.",2
"Tianjin Haidian Information Technology Co., Ltd.",2
"Beijing Absolute One Hundred Network Technology Co., Ltd.",2
"Beijing 103 Information Technology Co., Ltd.",2
"Beijing Xinrui Online Advertising Co., Ltd.",2
"Beijing Yiow Network Technology Co., Ltd.",2
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",2
"Weihai Hairun Textile and Garment Co., Ltd.",1
"Shanghai Pangrong Computer Technology Co., Ltd.",2
Anhui Paimeng Investment Group,2
"Shenzhen Caixun Technology Co., Ltd.",2
"Shanghai Qingu Network Technology Co., Ltd.",2
"Hangzhou Pantone Network Technology Co., Ltd.",2
"Beijing Herui Times Information Technology Co., Ltd.",2
"Beijing Zhongruitong Communication Equipment Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Beijing Wanwei Sky Technology Co., Ltd.",2
"Shenzhen Beautiful Alliance Technology Co., Ltd.",2
"Shanghai Xinghuo Information Technology Co., Ltd.",2
"Zhuhai Zhongda Information Network Technology Co., Ltd.",2
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",2
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",2
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",2
"Zhuhai Zhongdaxin Network Technology Co., Ltd.",2
"Beijing Yiow Network Technology Co., Ltd.",2
"Shanghai Chenlu Information Technology Co., Ltd.",2
"Shanghai Chenlu Information Technology Co., Ltd.",2
"Hangzhou Dayi Business Network Co., Ltd.",1
"Hangzhou Dayi Business Network Co., Ltd.",1
"Changzhou Dongyuan Textile Printing and Dyeing Co., Ltd.",3
"Dah Sing Bank (China) Co., Ltd.",2
"Beijing Zhichi Power System Technology Co., Ltd.",2
"Hangzhou Bister Technology Co., Ltd.",2
"Guangzhou Shuixun Information Technology Co., Ltd.",2
"Hangzhou Diangao Network Technology Co., Ltd.",2
"Beijing Feixiangren Information Technology Co., Ltd.",2
"Hua Xia Bank Co., Ltd.",2
"Airlock Building Materials (Beijing) Co., Ltd.",2
"Beijing Century Van Gogh Trading Co., Ltd.",2
Beijing Yinghai Hongqida Protective Window Factory,2
"Guangzhou Youzhiyi Information Technology Co., Ltd.",2
"Beijing Guotong Kexin Technology Development Co., Ltd.",2
"Zhejiang Blog Information Technology Co., Ltd.",2
"Hebei Galaxy Talent Information Service Co., Ltd.",2
"Beijing Yiow Network Technology Co., Ltd.",2
"Beijing Baiyi Technology Co., Ltd.",2
"Beijing Wuzunwu Technology Development Co., Ltd.",2
"Beijing Wuzunwu Technology Development Co., Ltd.",1
"Beijing Wuzunwu Technology Development Co., Ltd.",2
"Beijing Wuzunwu Technology Development Co., Ltd.",2
