export,export to OECD,name of the seller
0,0,"Beijing Kelan Software System Co., Ltd. bjh"
0,0,"Beijing Kelan Software System Co., Ltd. bjh"
0,0,"Beijing Yuxin Yicheng Technology Co., Ltd."
0,0,"Haimu (Beijing) Laser and CNC Development Co., Ltd."
0,0,"Haimu (Beijing) Laser and CNC Development Co., Ltd."
0,0,"Beijing Dacheng Wuxian Technology Co., Ltd."
0,0,"Beijing Dexing Electronic Technology Co., Ltd."
0,0,"Beijing Dexing Electronic Technology Co., Ltd."
0,0,"Beijing Dexing Electronic Technology Co., Ltd."
0,0,"Beijing Solang Computer Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Taihao Intelligent Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
0,0,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Dena Network Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,0,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,1,"Beijing Bosike Space Information Technology Co., Ltd."
1,0,"Beijing Botianyi Technology Co., Ltd."
1,1,"Beijing Daoda Technology Co., Ltd. bjh"
1,1,"Beijing Daoda Technology Co., Ltd. bjh"
1,1,"Beijing Daoda Technology Co., Ltd. bjh"
1,1,"Beijing Daoda Technology Co., Ltd. bjh"
1,1,"Beijing Chuanshi Digital Technology Co., Ltd. bjj"
1,1,"Beijing Texel Software Co., Ltd."
1,1,"Beijing Texel Software Co., Ltd.bbq"
1,1,"Beijing Texel Software Co., Ltd."
1,1,"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj"
1,1,"Beijing Siwei Hengtong Technology Development Co., Ltd. bjj"
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"Beijing Chuanshi Digital Technology Co., Ltd. bjj"
1,1,"Beijing Texel Software Co., Ltd.bbq"
1,1,"Beijing Texel Software Co., Ltd.bbq"
1,1,"Beijing Texel Software Co., Ltd."
1,1,"Beijing Texel Software Co., Ltd.bbq"
1,1,"Beijing Texel Software Co., Ltd."
1,1,"Silicon Valley Analog Semiconductor (Beijing) Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
1,1,"International Business Machines (China) Investment Co., Ltd."
