Seller name,Seller Category C,Seller ownership,,
"Beijing Kelan Software System Co., Ltd. bjh",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Kelan Software System Co., Ltd. bjh",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Beijing Yuxin Yicheng Technology Co., Ltd.",Sino-foreign joint venture,"Information transmission, computer services and software industry",,
"Haimu (Beijing) Laser and CNC Development Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Haimu (Beijing) Laser and CNC Development Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Dacheng Wuxian Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Dexing Electronic Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Dexing Electronic Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Dexing Electronic Technology Co., Ltd.","Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,
"Beijing Solang Computer Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Taihao Intelligent Technology Co., Ltd.",Sino-foreign joint venture,"Water, environment and public facilities management",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Dena Network Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
"Beijing Bosike Space Information Technology Co., Ltd.",Foreign companies,"Information transmission, computer services and software industry",,
