People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
Japan(JP),1,,People's Republic of China (CN),0,,institutions of higher learning,1,,Foreign companies,0,,Sino-foreign joint venture,0,,,,0,0,1,0,,"Information transmission, computer services and software industry",1,,"Information transmission, computer services and software industry",1,,computer software,0,,computer software,0,,,,1,0,0,,technology development,1,Technical Services,0,,,,0,1,0,0,,One time payment,0,,Installment payment,1,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Bank of China Limited, Macau Branch",1,,"Bank of China Limited, Macau Branch",1,,institutions of higher learning,2,,"Hong Kong, Macao and Taiwan investment enterprises",1,,People's Republic of China (CN),0,,People's Republic of China (CN),0,,Sino-foreign joint venture,1,,Sino-foreign joint venture,1,,"Information transmission, computer services and software industry",1,,"Information transmission, computer services and software industry",1,,computer software,1,,computer software,1,,Technical Services,1,,Technical Services,1,,Installment payment,1,,Installment payment,1
Myanmar(MM),1,,People's Republic of China (CN),0,,national administrative agencies,1,,"Foreign Investment Co., Ltd.",0,,Sino-foreign joint venture,0,,,,0,0,1,0,,"Water, environment and public facilities management",0,,"Information transmission, computer services and software industry",1,,No intellectual property rights involved,1,,computer software,0,,,,1,0,0,,technology transfer,1,technology development,1,,,,1,0,0,1,,commission payment,1,,Installment payment,1,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Bank of China Macau Branch,1,,Bank of China Macau Branch,1,,national administrative agencies,2,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Japan(JP),1,,People's Republic of China (CN),0,,Foreign companies,2,,Sino-foreign joint venture,1,,"Water, environment and public facilities management",2,,"Information transmission, computer services and software industry",1,,No intellectual property rights involved,2,,computer software,1,,technology development,2,,technology development,2,,One time payment,2,,Installment payment,1
Europe Others,1,,People's Republic of China (CN),0,,Overseas enterprises,0,,Sino-foreign cooperative enterprises,0,,Sino-foreign joint venture,0,,,,0,0,1,0,,manufacturing,0,,"Information transmission, computer services and software industry",1,,technical secrets,0,,No intellectual property rights involved,1,,,,0,0,1,,technical consulting,0,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,"Haimu (Beijing) Laser and CNC Development Co., Ltd.",3,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Bank of Communications Hong Kong Branch,1,,Bank of Communications Hong Kong Branch,1,,Overseas enterprises,3,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Myanmar(MM),0,,People's Republic of China (CN),0,,"Foreign Investment Co., Ltd.",3,,Sino-foreign joint venture,1,,manufacturing,3,,"Information transmission, computer services and software industry",1,,technical secrets,3,,No intellectual property rights involved,2,,technology transfer,3,,Technical Services,1,,commission payment,3,,Installment payment,1
United States(US),1,,People's Republic of China (CN),0,,Research institutions,1,,limited liability company,0,,Foreign companies,0,,,,1,0,0,0,,"Transportation, warehousing and postal services",0,,"Information transmission, computer services and software industry",1,,patent,0,,computer software,0,,,,1,0,0,,,,technology transfer,1,,,,0,0,1,1,,,,,One time payment,0,,"Beijing Dacheng Wuxian Technology Co., Ltd.",4,,"Haimu (Beijing) Laser and CNC Development Co., Ltd.",3,,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",2,,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",2,,Research institutions,2,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Europe Others,0,,People's Republic of China (CN),0,,Sino-foreign cooperative enterprises,4,,Foreign companies,2,,"Transportation, warehousing and postal services",4,,"Information transmission, computer services and software industry",1,,patent,4,,computer software,1,,technical consulting,4,,technology transfer,3,,,,,One time payment,2
United Kingdom(GB),1,,People's Republic of China (CN),0,,Domestic-funded enterprises,1,,sole proprietorship,1,,Foreign companies,0,,,,1,0,0,0,,"Scientific research, technical services and geological exploration industry",0,,"Information transmission, computer services and software industry",1,,Integrated circuit layout design,0,,technical secrets,0,,,,0,1,0,,,,technology transfer,1,,,,0,0,1,1,,,,,One time payment,0,,"Beijing Dexing Electronic Technology Co., Ltd.",5,,"Haimu (Beijing) Laser and CNC Development Co., Ltd.",3,,"Global Online (Beijing) Technology Co., Ltd.",2,,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",2,,Domestic-funded enterprises,4,,"Hong Kong, Macao and Taiwan investment enterprises",1,,United States(US),1,,People's Republic of China (CN),0,,limited liability company,5,,Foreign companies,2,,"Scientific research, technical services and geological exploration industry",5,,"Information transmission, computer services and software industry",1,,Integrated circuit layout design,5,,technical secrets,3,,,,,technology transfer,3,,,,,One time payment,2
Finland(FI),1,,People's Republic of China (CN),0,,other foreign organizations,0,,private enterprise,0,,Foreign companies,0,,,,1,0,0,0,,"Culture, Sports and Entertainment Industry",0,,"Information transmission, computer services and software industry",1,,New varieties of biology and medicine,0,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Solang Computer Co., Ltd.",6,,"Beijing Dacheng Wuxian Technology Co., Ltd.",4,,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",2,,"Global Online (Beijing) Technology Co., Ltd.",2,,other foreign organizations,3,,"Hong Kong, Macao and Taiwan investment enterprises",1,,United Kingdom(GB),1,,People's Republic of China (CN),0,,sole proprietorship,2,,Foreign companies,2,,"Culture, Sports and Entertainment Industry",6,,"Information transmission, computer services and software industry",1,,New varieties of biology and medicine,6,,technical secrets,3,,,,,technology development,2,,,,,Installment payment,1
Country/region unknown,1,,People's Republic of China (CN),0,,other,1,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,"Electricity, gas and water production and supply industry",0,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"Beijing Dexing Electronic Technology Co., Ltd.",5,,Beijing industry university,3,,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",2,,other,3,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Finland(FI),1,,People's Republic of China (CN),0,,private enterprise,6,,"Foreign Investment Co., Ltd.",3,,"Electricity, gas and water production and supply industry",7,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
South Korea(KR),1,,People's Republic of China (CN),0,,Corporate,1,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,"Health, social security and social welfare industries",0,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Taihao Intelligent Technology Co., Ltd.",8,,"Beijing Dexing Electronic Technology Co., Ltd.",5,,Wuhan University,3,,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",2,,Corporate,4,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Country/region unknown,0,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,"Health, social security and social welfare industries",8,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
Sweden(SE),1,,People's Republic of China (CN),0,,Provincial administrative agencies,1,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,"Beijing Dena Network Technology Co., Ltd.",9,,"Beijing Dexing Electronic Technology Co., Ltd.",5,,Northeast Normal University,3,,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",2,,Provincial administrative agencies,2,,"Hong Kong, Macao and Taiwan investment enterprises",1,,South Korea(KR),1,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
Netherlands(NL),1,,People's Republic of China (CN),0,,foreign-invested enterprises,0,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,"Beijing Botianyi Technology Co., Ltd.",10,,"Beijing Solang Computer Co., Ltd.",6,,Jiangxi Electric Power Research Institute,3,,Beijing industry university,3,,foreign-invested enterprises,5,,institutions of higher learning,2,,Sweden(SE),1,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
