Column 1,Column 2,Column 3,,,,,,,,,,,,,,,
Year (all transactions),Number of transactions,percentage,,,,,,,,,,,,,,,
2001,43,1.73,,,,,,,,,,,,,,,
2002,98,3.95,,,,,,,,,,,,,,,
2003,69,2.78,,,,,,,,,,,,,,,
2004,160,6.45,,,,,,,,,,,,,,,
2005,125,5.04,,,,,,,,,,,,,,,
2006,254,10.24,,,,,,,,,,,,,,,
2007,183,7.38,,,,,,,,,,,,,,,
2008,337,13.59,,,,,,,,,,,,,,,
2009,418,16.85,,,,,,,,,,,,,,,
2010,554,22.34,,,,,,,,,,,,,,,
2011,239,9.64,,,,,,,,,,,,,,,
Total,"2,480",100,,,,,,,,,,,,,,,
Column 1,Column 2,Column 3,,,,,,,,,,,,,,,
Year (only includes IT industry),Number of transactions,percentage,,,,,,,,,,,,,,,
2001,39,1.69,,,,,,,,,,,,,,,
2002,87,3.77,,,,,,,,,,,,,,,
2003,64,2.77,,,,,,,,,,,,,,,
2004,107,4.63,,,,,,,,,,,,,,,
2005,100,4.33,,,,,,,,,,,,,,,
2006,226,9.79,,,,,,,,,,,,,,,
2007,171,7.41,,,,,,,,,,,,,,,
2008,330,14.29,,,,,,,,,,,,,,,
2009,404,17.5,,,,,,,,,,,,,,,
2010,547,23.69,,,,,,,,,,,,,,,
2011,234,10.13,,,,,,,,,,,,,,,
Total,"2,309",100,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Seller name,,,,,,Number of transactions per year,,,,,,,,,,,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total,Nature of business,,,,
"Beijing Kelan Software System Co., Ltd. bjh",0,24,11,27,22,52,38,89,66,146,56,531,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Beijing Yuxin Yicheng Technology Co., Ltd.",0,0,0,0,0,0,2,132,196,245,126,701,Sino-foreign joint venture,"Information transmission, computer services and software industry",,,
"Haimu (Beijing) Laser and CNC Development Co., Ltd.",0,0,0,0,0,0,1,1,1,0,0,3,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Dacheng Wuxian Technology Co., Ltd.",0,0,0,0,6,1,3,0,0,0,0,10,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Dexing Electronic Technology Co., Ltd.",0,0,0,0,0,0,1,1,1,3,0,6,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Solang Computer Co., Ltd.",0,0,0,0,0,0,0,7,25,28,18,78,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Bosike Space Information Technology Co., Ltd.",0,0,0,0,1,6,12,15,7,25,26,92,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Taihao Intelligent Technology Co., Ltd.",0,0,0,0,0,0,0,0,1,0,0,1,Sino-foreign joint venture,"Water, environment and public facilities management",,,
"Beijing Dena Network Technology Co., Ltd.",0,0,0,0,0,0,0,0,1,0,0,1,Foreign companies,"Information transmission, computer services and software industry",,,
"Beijing Botianyi Technology Co., Ltd.",0,0,0,0,0,0,2,0,0,0,0,2,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Daoda Technology Co., Ltd. bjh",0,0,0,0,0,0,5,2,0,0,0,7,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",,,
"Beijing Chuanshi Digital Technology Co., Ltd. bjj",0,0,0,0,0,1,1,0,0,0,0,2,Foreign companies,"Information transmission, computer services and software industry",,,
