Declaration date,,Declaration date,,
10/7/08,,39728.00 ,,
2/12/07,,39125.00 ,,
1/16/09,,39829.00 ,,
2/23/09,,39867.00 ,,
9/19/07,,39344.00 ,,
12/14/06,,39065.00 ,,
5/31/10,,40329.00 ,,
3/24/08,,39531.00 ,,
12/15/10,,40527.00 ,,
6/24/09,,39988.00 ,,
1/28/10,,40206.00 ,,
1/28/10,,40206.00 ,,
3/10/09,,39882.00 ,,
1/28/10,,40206.00 ,,
12/11/07,,39427.00 ,,
4/22/08,,39560.00 ,,
1/25/11,,40568.00 ,,
1/6/09,,39819.00 ,,
12/29/10,,40541.00 ,,
1/29/08,,39476.00 ,,
12/21/06,,39072.00 ,,
8/6/07,,39300.00 ,,
12/7/07,,39423.00 ,,
12/24/07,,39440.00 ,,
12/7/07,,39423.00 ,,
11/10/09,,40127.00 ,,
12/7/07,,39423.00 ,,
12/21/06,,39072.00 ,,
12/27/10,,40539.00 ,,
11/17/09,,40134.00 ,,
8/6/07,,39300.00 ,,
12/27/10,,40539.00 ,,
12/21/06,,39072.00 ,,
4/28/08,,39566.00 ,,
4/26/07,,39198.00 ,,
2/2/07,,39115.00 ,,
10/29/07,,39384.00 ,,
6/1/07,,39234.00 ,,
1/25/08,,39472.00 ,,
12/12/07,,39428.00 ,,
6/12/07,,39245.00 ,,
6/29/06,,38897.00 ,,
12/5/06,,39056.00 ,,
11/13/07,,39399.00 ,,
12/30/08,,39812.00 ,,
5/31/11,,40694.00 ,,
2/18/11,,40592.00 ,,
3/2/09,,39874.00 ,,
3/2/09,,39874.00 ,,
3/2/09,,39874.00 ,,
12/16/10,,40528.00 ,,
12/12/06,,39063.00 ,,
5/25/10,,40323.00 ,,
2/26/09,,39870.00 ,,
11/19/07,,39405.00 ,,
6/21/11,,40715.00 ,,
6/5/06,,38873.00 ,,
7/14/06,,38912.00 ,,
12/29/05,,38715.00 ,,
10/16/06,,39006.00 ,,
8/19/10,,40409.00 ,,
1/17/06,,38734.00 ,,
12/5/08,,39787.00 ,,
7/24/07,,39287.00 ,,
1/5/10,,40183.00 ,,
1/28/10,,40206.00 ,,
1/28/10,,40206.00 ,,
1/28/10,,40206.00 ,,
1/30/11,,40573.00 ,,
2/23/10,,40232.00 ,,
1/28/10,,40206.00 ,,
1/28/10,,40206.00 ,,
1/24/11,,40567.00 ,,
1/28/10,,40206.00 ,,
1/25/11,,40568.00 ,,
1/25/11,,40568.00 ,,
1/27/11,,40570.00 ,,
11/17/09,,40134.00 ,,
1/28/10,,40206.00 ,,
1/25/11,,40568.00 ,,
1/30/11,,40573.00 ,,
1/28/10,,40206.00 ,,
1/25/11,,40568.00 ,,
12/7/07,,39423.00 ,,
10/14/08,,39735.00 ,,
1/25/11,,40568.00 ,,
9/8/08,,39699.00 ,,
9/27/08,,39718.00 ,,
