amount,name of the buyer
10,"Bank of China Limited, Macau Branch"
1,Bank of China Macau Branch
1,Bank of Communications Hong Kong Branch
3,"Apache (Beijing) Fiber Laser Technology Co., Ltd."
3,"Apache (Beijing) Fiber Laser Technology Co., Ltd."
1,"Global Online (Beijing) Technology Co., Ltd."
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd."
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd."
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd."
1,Beijing industry university
1,Wuhan University
1,Northeast Normal University
1,Jiangxi Electric Power Research Institute
1,Xi'an University of Electronic Science and Technology
1,University of Science and Technology Beijing
3,Beijing Normal University
3,Beijing Normal University
3,Beijing Normal University
7,National Disaster Reduction Center of the Ministry of Civil Affairs
3,"Pasco Systems Division, Co., Ltd."
2,"Bosco Co., Ltd."
2,"Tokyo Digital Map Co., Ltd."
3,"Pasco Systems Division, Co., Ltd."
1,"PASCO Co., Ltd. Strategic Planning Department"
2,"Pasco Research and Development Center Co., Ltd."
1,"DeNA Co., Ltd."
1,3D Data conversion tool technology development
2,"Bosco Co., Ltd."
3,"PASCO System Division, Co., Ltd."
1,"PASCO Co., Ltd. Disaster Prevention Technology Department"
1,Bosco Technology General Headquarters Remote Sensing Technology Department
2,"PASCO Research and Development Center Co., Ltd."
2,"Tokyo Digital Map Co., Ltd."
1,"PASCO Co., Ltd. International Strategy Office"
1,"GameHub Incorporated(Game Hub Co., Ltd.)"
4,Hinge Global Resources Inc.
3,"Double Bridge Technologies,Inc."
4,Hinge Global Resources Inc.
3,"Double Bridge Technologies,Inc."
2,"NeuLion, Inc."
8,TechExcel
8,TechExcel
8,TechExcel
2,JOHNSON SECURITY LTD
2,JOHNSON SECURITY LTD
19,Analogix International
19,"Analogix International, Inc"
19,Analogix International
19,Analogix International
19,Analogix International
19,"Analogix International, Inc"
2,"NeuLion, Inc. (New Poetry Co., Ltd.)"
8,"TechExcel, Inc. (Texel Corporation of the United States)"
8,TechExcel
8,TechExcel
8,"TechExcel, Inc. (Texel Corporation of the United States)"
8,TechExcel
19,Analogex International
9,International Business Machines Corporation
9,International Business Machines Corporation
9,International Business Machines Corporation
9,International Business Machines Corporation
9,International Business Machines Corporation
9,International Business Machines Corporation
9,International Business Machines Corporation
2,Guangxi Zhuang Autonomous Region Remote Sensing Center
7,National Disaster Reduction Center of the Ministry of Civil Affairs
1,Hunan Provincial Geological Environment Monitoring Station
1,Chengdu Institute of Geology and Mineral Resources
1,Hubei Province Jingzhou Center for Disease Control and Prevention
7,National Disaster Reduction Center of the Ministry of Civil Affairs
7,National Disaster Reduction Center of the Ministry of Civil Affairs
1,"Institute of Agricultural Resources and Agricultural Zoning, Chinese Academy of Agricultural Sciences"
1,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences"
1,Fujian Geological Surveying and Mapping Institute
1,Liaoning Provincial Water Conservancy and Hydropower Survey and Design Institute
1,Anhui Electric Power Design Institute
2,Jiangsu Provincial Institute of Surveying and Mapping Engineering
1,Anhui Geological Survey Institute
1,"State Forestry Administration Survey, Planning and Design Institute"
1,"Institute of Mineral Resources, Chinese Academy of Geological Sciences"
7,National Disaster Reduction Center of the Ministry of Civil Affairs
1,China National Petroleum Corporation Science and Technology Research Institute
2,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station
2,Jiangsu Provincial Bureau of Surveying and Mapping
2,Guangxi Zhuang Autonomous Region Remote Sensing Center
1,National Satellite Ocean Application Center
3,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences"
1,"Institute of Geographic Sciences and Natural Resources, Chinese Academy of Sciences"
1,Jiangsu Provincial Environmental Monitoring Center
7,National Disaster Reduction Center of the Ministry of Civil Affairs
1,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station
3,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences"
2,Jiangsu Provincial Institute of Surveying and Mapping Engineering
2,Chinese Academy of Sciences China Remote Sensing Satellite Ground Station
7,National Disaster Reduction Center of the Ministry of Civil Affairs
1,China Urban Planning and Design Institute
3,"Center for Earth Observation and Digital Earth Science, Chinese Academy of Sciences"
1,Office of the National Disaster Risk Reduction Council
6,"Shanghai Chenlu Information Technology Co., Ltd."
6,"Shanghai Chenlu Information Technology Co., Ltd."
4,"Beijing Yisheng Health E-Commerce Co., Ltd."
4,"Shanghai Qingu Network Technology Co., Ltd."
4,"Shanghai Qingu Network Technology Co., Ltd."
3,"Hangzhou Wangfa Network Information Technology Co., Ltd."
3,"Hangzhou Wangfa Network Information Technology Co., Ltd."
2,"Huizhou Qiaoxing Telecommunications Industry Co., Ltd."
2,"Huizhou Qiaoxing Telecommunications Industry Co., Ltd."
