name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),0,112147.2,112147.2,1,1,Installment payment
Bank of China Macau Branch,Macao Special Administrative Region,1,People's Republic of China (CN),0,835143.45,835143.45,1,1,Installment payment
Bank of Communications Hong Kong Branch,Hong Kong Special Administrative Region,1,People's Republic of China (CN),0,1148000,1148000,1,1,Installment payment
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),0,1936517.5,1936517.5,0,2,One time payment
"Apache (Beijing) Fiber Laser Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),0,2521904,2521904,0,2,One time payment
"Global Online (Beijing) Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),0,4600000,4600000,1,1,Installment payment
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),0,11700000,11700000,1,1,Installment payment
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),0,14000000,14000000,1,1,Installment payment
"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),0,23000000,23000000,1,1,Installment payment
Beijing industry university,Beijing,0,People's Republic of China (CN),1,35000,35000,0,2,One time payment
Wuhan University,hubei province,0,People's Republic of China (CN),1,37300,37300,0,2,One time payment
Northeast Normal University,Jilin Province,0,People's Republic of China (CN),1,132500,132500,0,2,One time payment
Jiangxi Electric Power Research Institute,Jiangxi Province,0,People's Republic of China (CN),1,146868,146868,0,2,One time payment
Xi'an University of Electronic Science and Technology,Shaanxi Province,0,People's Republic of China (CN),1,156200,156200,0,2,One time payment
University of Science and Technology Beijing,Beijing,0,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
Beijing Normal University,Beijing,0,People's Republic of China (CN),1,450000,450000,1,1,Installment payment
Beijing Normal University,Beijing,0,People's Republic of China (CN),1,600000,600000,1,1,Installment payment
Beijing Normal University,Beijing,0,People's Republic of China (CN),1,2000000,2000000,1,1,Installment payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,144400,144400,1,1,Installment payment
"Pasco Systems Division, Co., Ltd.",,0,Japan(JP),0,53528.67,53528.67,0,2,One time payment
"Bosco Co., Ltd.",,0,Japan(JP),0,170485,170485,0,2,One time payment
"Tokyo Digital Map Co., Ltd.",,0,Japan(JP),0,284900,284900,1,1,Installment payment
"Pasco Systems Division, Co., Ltd.",,0,Japan(JP),0,310000,310000,0,2,One time payment
"PASCO Co., Ltd. Strategic Planning Department",,0,Japan(JP),0,315000,315000,0,2,One time payment
"Pasco Research and Development Center Co., Ltd.",,0,Japan(JP),0,470000,470000,1,1,Installment payment
"DeNA Co., Ltd.",,0,Japan(JP),0,527100,527100,0,2,One time payment
3D Data conversion tool technology development,,0,Japan(JP),0,550000,550000,0,2,One time payment
"Bosco Co., Ltd.",,0,Japan(JP),0,681714,681714,0,2,One time payment
"PASCO System Division, Co., Ltd.",,0,Japan(JP),0,700000,700000,1,1,Installment payment
"PASCO Co., Ltd. Disaster Prevention Technology Department",,0,Myanmar(MM),0,805600,805600,1,1,Installment payment
Bosco Technology General Headquarters Remote Sensing Technology Department,,0,Japan(JP),0,966000,966000,1,1,Installment payment
"PASCO Research and Development Center Co., Ltd.",,0,Japan(JP),0,1170000,1170000,1,1,Installment payment
"Tokyo Digital Map Co., Ltd.",,0,Japan(JP),0,1209222,1209222,0,2,One time payment
"PASCO Co., Ltd. International Strategy Office",,0,Japan(JP),0,1344000,1344000,1,1,Installment payment
"GameHub Incorporated(Game Hub Co., Ltd.)",,0,Europe Others,0,1561740,1561740,1,1,Installment payment
Hinge Global Resources Inc.,,0,United States(US),0,2957046,2957046,1,1,Installment payment
"Double Bridge Technologies,Inc.",,0,United States(US),0,3008880,3008880,1,1,Installment payment
Hinge Global Resources Inc.,,0,United Kingdom(GB),0,3077920,3077920,1,1,Installment payment
"Double Bridge Technologies,Inc.",,0,United States(US),0,3320550,3320550,1,1,Installment payment
"NeuLion, Inc.",,0,United States(US),0,3700000,3700000,1,1,Installment payment
TechExcel,,0,United States(US),0,4206125,4206125,1,1,Installment payment
TechExcel,,0,United States(US),0,4640000,4598864,1,1,Installment payment
TechExcel,,0,United States(US),0,4960000,4960000,1,3,commission payment
JOHNSON SECURITY LTD,,0,United Kingdom(GB),0,5250000,5250000,0,2,One time payment
JOHNSON SECURITY LTD,,0,United Kingdom(GB),0,5771641.5,5771641.5,0,2,One time payment
Analogix International,other,0,United States(US),0,6480000,6480000,1,1,Installment payment
"Analogix International, Inc",,0,United States(US),0,6600000,6600000,1,1,Installment payment
Analogix International,other,0,United States(US),0,6829100,6829100,1,1,Installment payment
Analogix International,other,0,United States(US),0,6829100,6829100,1,1,Installment payment
Analogix International,other,0,United States(US),0,6829100,6829100,1,1,Installment payment
"Analogix International, Inc",,0,United States(US),0,7992000,7992000,1,1,Installment payment
"NeuLion, Inc. (New Poetry Co., Ltd.)",,0,United States(US),0,8000000,8000000,1,1,Installment payment
"TechExcel, Inc. (Texel Corporation of the United States)",,0,United States(US),0,8601894,8601894,1,3,commission payment
TechExcel,other,0,United States(US),0,8818053,8818053,1,3,commission payment
TechExcel,,0,United States(US),0,9344412,9344412,1,1,Installment payment
"TechExcel, Inc. (Texel Corporation of the United States)",,0,United States(US),0,9468976,9468976,1,3,commission payment
TechExcel,,0,United States(US),0,9600000,9558864,1,1,Installment payment
Analogex International,,0,United States(US),0,9581040,9581040,1,1,Installment payment
International Business Machines Corporation,,0,United States(US),0,147362000,147362000,0,2,One time payment
International Business Machines Corporation,,0,United States(US),0,188600000,188600000,0,2,One time payment
International Business Machines Corporation,,0,United States(US),0,260000000,260000000,0,2,One time payment
International Business Machines Corporation,,0,United States(US),0,1000000000,1000000000,1,3,commission payment
International Business Machines Corporation,other,0,United States(US),0,1400000000,1400000000,1,3,commission payment
International Business Machines Corporation,,0,United States(US),0,1453400000,1453400000,1,3,commission payment
International Business Machines Corporation,,0,United States(US),0,1634568610,1634568610,1,3,commission payment
Guangxi Zhuang Autonomous Region Remote Sensing Center,Guangxi Zhuang Autonomous Region,0,People's Republic of China (CN),1,33000,30000,0,2,One time payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,51750,51750,0,2,One time payment
Hunan Provincial Geological Environment Monitoring Station,Hunan Province,0,People's Republic of China (CN),1,57000,57000,0,2,One time payment
Chengdu Institute of Geology and Mineral Resources,Sichuan Province,0,People's Republic of China (CN),1,66700,66700,1,1,Installment payment
Hubei Province Jingzhou Center for Disease Control and Prevention,hubei province,0,People's Republic of China (CN),1,80000,80000,0,2,One time payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,90000,90000,0,2,One time payment
National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,93150,93150,0,2,One time payment
"Institute of Agricultural Resources and Agricultural Zoning, Chinese Academy of Agricultural Sciences",Beijing,0,People's Republic of China (CN),1,100000,100000,0,2,One time payment
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",Guangdong Province,0,People's Republic of China (CN),1,104000,104000,0,2,One time payment
Fujian Geological Surveying and Mapping Institute,Fujian Province,0,People's Republic of China (CN),1,112320,112320,0,2,One time payment
Liaoning Provincial Water Conservancy and Hydropower Survey and Design Institute,Liaoning Province,0,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Anhui Electric Power Design Institute,Anhui Province,0,People's Republic of China (CN),1,129300,129300,1,1,Installment payment
Jiangsu Provincial Institute of Surveying and Mapping Engineering,Jiangsu Province,0,People's Republic of China (CN),1,130000,130000,0,2,One time payment
Anhui Geological Survey Institute,Anhui Province,0,People's Republic of China (CN),1,148700,148700,0,2,One time payment
