amount,name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission,if the project is a technical consultation,if the project is an IP exchange,Turnover,money,payment method
10,"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),0,1,1,0,0,2,0,1,0,112147.2,112147.2,Installment payment
1,Bank of China Macau Branch,Macao Special Administrative Region,1,People's Republic of China (CN),0,1,1,0,0,2,1,0,0,835143.45,835143.45,Installment payment
1,Bank of Communications Hong Kong Branch,Hong Kong Special Administrative Region,1,People's Republic of China (CN),0,1,0,0,1,1,0,1,0,1148000,1148000,Installment payment
3,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),0,1,1,0,0,2,0,0,1,1936517.5,1936517.5,One time payment
3,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),0,1,0,1,0,3,0,0,1,2521904,2521904,One time payment
1,"Global Online (Beijing) Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),0,1,0,1,0,3,1,0,0,4600000,4600000,Installment payment
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),0,1,1,0,0,2,1,0,0,11700000,11700000,Installment payment
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),0,1,1,0,0,2,1,0,0,14000000,14000000,Installment payment
5,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),0,1,1,0,0,2,1,0,0,23000000,23000000,Installment payment
1,Beijing industry university,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,35000,35000,One time payment
1,Wuhan University,hubei province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,37300,37300,One time payment
1,Northeast Normal University,Jilin Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,132500,132500,One time payment
1,Jiangxi Electric Power Research Institute,Jiangxi Province,0,People's Republic of China (CN),1,0,0,0,1,1,1,0,0,146868,146868,One time payment
1,Xi'an University of Electronic Science and Technology,Shaanxi Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,156200,156200,One time payment
1,University of Science and Technology Beijing,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,200000,200000,Installment payment
3,Beijing Normal University,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,450000,450000,Installment payment
3,Beijing Normal University,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,600000,600000,Installment payment
3,Beijing Normal University,Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,2000000,2000000,Installment payment
7,National Disaster Reduction Center of the Ministry of Civil Affairs,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,144400,144400,Installment payment
