contract number,date of sitting,time,delivery date,amount,internalization,outsourcing,if the sitting date time after 2006,year,date of declaration,name of the project,name of the buyer,location of the buyer,if the buyer is a bank,export,export to OECD,the buyer's country,if the buyer is a chinese organization,classification of the buyer,Buyer Category B,Buyer Category C,name of the seller,Seller Category A,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,Seller Category C,Seller ownership,if the seller belongs to IT industry,Technical field A,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual Property A,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type A,Contract type B,Plan Category A,Plan Category B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Seller registration number,Seller organization number,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
2008110022000294,2008-08-01,364d,2009-07-31,10,0,1,1,2008,10/7/08,Development and maintenance of mobile banking application system of Bank of China Macau Branch,"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises","Hong Kong, Macao and Taiwan Investment Co., Ltd.","Beijing Kelan Software System Co., Ltd. bjh",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,social development and social services,112147.2,112147.2,1,1,Installment payment,00,01,no,no,no
2007110022000046,2006-12-01,211d,2007-06-30,1,0,1,1,2007,2/12/07,Development of Zhida mobile banking system for Bank of China Macau Branch,Bank of China Macau Branch,Macao Special Administrative Region,1,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",joint venture,"Beijing Kelan Software System Co., Ltd. bjh",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,social development and social services,835143.45,835143.45,1,1,Installment payment,00,01,no,no,no
2009110032001266,2008-06-01,394d,2009-06-30,1,0,1,1,2009,1/16/09,Bank of Communications Hong Kong Branch 2008 Development Resource Service Contract,Bank of Communications Hong Kong Branch,Hong Kong Special Administrative Region,1,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises","Hong Kong, Macao and Taiwan Investment Co., Ltd.","Beijing Yuxin Yicheng Technology Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,1,Sino-foreign joint venture,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,0,0,1,1,No intellectual property rights involved,No intellectual property rights involved,0,1,0,1,Technical Services,General technical services,Out of plan,Out of plan,social development and social services,1148000,1148000,1,1,Installment payment,01,00,no,no,no
2009110025000013,2009-03-01,305d,2009-12-31,3,0,1,1,2009,2/23/09,IPG fiber laser multi-function control software V1.0 copyright ownership transfer,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",Beijing,0,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",sole proprietorship,"Haimu (Beijing) Laser and CNC Development Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Advanced Manufacturing Technology,other,1,0,0,2,computer software,computer software,0,0,1,3,technology transfer,Computer software copyright transfer,Out of plan,Out of plan,Promote industrial development,1936517.5,1936517.5,0,2,One time payment,06,00,no,no,no
2007110025000006,2007-09-01,121d,2007-12-31,3,0,1,1,2007,9/19/07,IPG fiber laser control software V1.0 copyright ownership,"Apache (Beijing) Fiber Laser Technology Co., Ltd.",Beijing,0,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",sole proprietorship,"Haimu (Beijing) Laser and CNC Development Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Advanced Manufacturing Technology,Automation machinery and equipment technology,0,1,0,3,technical secrets,technical secrets,0,0,1,3,technology transfer,Computer software copyright transfer,Out of plan,Out of plan,Promote industrial development,2521904,2521904,0,2,One time payment,06,00,no,no,no
2006110003000176,2006-06-30,364d,2007-06-29,1,0,1,1,2006,12/14/06,DC2000 mobile phone,"Global Online (Beijing) Technology Co., Ltd.",Beijing,0,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",sole proprietorship,"Beijing Dacheng Wuxian Technology Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,communication technology,0,1,0,3,technical secrets,technical secrets,1,0,0,2,technology development,cooperative development,Out of plan,Out of plan,social development and social services,4600000,4600000,1,1,Installment payment,04,00,no,no,no
2010110032005619,2010-04-01,274d,2010-12-31,5,0,1,1,2010,5/31/10,Development of KC3.5/NC5 series multi-function printer system,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",sole proprietorship,"Beijing Dexing Electronic Technology Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,11700000,11700000,1,1,Installment payment,01,01,no,no,no
2008110032007016,2008-03-01,305d,2008-12-31,5,0,1,1,2008,3/24/08,Network copying and compound machine software development,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",sole proprietorship,"Beijing Dexing Electronic Technology Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,14000000,14000000,1,1,Installment payment,01,01,no,no,no
2011110032000451,2010-12-01,516d,2012-04-30,5,0,1,1,2010,12/15/10,ZOLO4 series multi-function printer system development,"Dongguan Dongju Electronic Telecommunications Products Co., Ltd.",Guangdong Province,0,0,0,People's Republic of China (CN),0,1,"Hong Kong, Macao and Taiwan investment enterprises",sole proprietorship,"Beijing Dexing Electronic Technology Co., Ltd.",Corporate,foreign-invested enterprises,0,0,1,3,"Foreign Investment Co., Ltd.","Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,other,23000000,23000000,1,1,Installment payment,01,01,no,no,no
2009110022000130,2009-04-01,152d,2009-08-31,1,1,0,1,2009,6/24/09,Student status management system based on SaaS structure,Beijing industry university,Beijing,0,0,0,People's Republic of China (CN),1,2,institutions of higher learning,Business legal person,"Beijing Solang Computer Co., Ltd.",Corporate,foreign-invested enterprises,1,0,0,2,Foreign companies,"Information transmission, computer services and software industry",1,Electronics and Information Technology,computer software,1,0,0,2,computer software,computer software,1,0,0,2,technology development,Commissioned development,Out of plan,Out of plan,social development and social services,35000,35000,0,2,One time payment,11,00,no,no,no
