time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
364d,10,0,1,1,1,0,0,0,1,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,112147.2,112147.2,1,1,Installment payment,no,no,no
211d,1,0,1,1,1,0,0,0,1,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,835143.45,835143.45,1,1,Installment payment,no,no,no
394d,1,0,1,1,1,0,0,0,1,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,1148000,1148000,1,1,Installment payment,no,no,no
305d,3,0,1,1,0,0,0,0,1,foreign-invested enterprises,1,0,0,2,1,other,1,0,0,2,computer software,0,0,1,3,Computer software copyright transfer,Promote industrial development,1936517.5,1936517.5,0,2,One time payment,no,no,no
121d,3,0,1,1,0,0,0,0,1,foreign-invested enterprises,1,0,0,2,1,Automation machinery and equipment technology,0,1,0,3,technical secrets,0,0,1,3,Computer software copyright transfer,Promote industrial development,2521904,2521904,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,0,1,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,1,0,0,2,cooperative development,social development and social services,4600000,4600000,1,1,Installment payment,no,no,no
274d,5,0,1,1,0,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,11700000,11700000,1,1,Installment payment,no,no,no
305d,5,0,1,1,0,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,14000000,14000000,1,1,Installment payment,no,no,no
516d,5,0,1,1,0,0,0,0,1,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,other,23000000,23000000,1,1,Installment payment,no,no,no
152d,1,1,0,1,0,0,0,1,2,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,35000,35000,0,2,One time payment,no,no,no
