time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
364d,10,0,1,1,2008,1,0,0,0,1,0,0,1,1,1,1,0,0,2,0,1,0,1,112147.2,112147.2,1,1,Installment payment
211d,1,0,1,1,2007,1,0,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,2,835143.45,835143.45,1,1,Installment payment
394d,1,0,1,1,2009,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1148000,1148000,1,1,Installment payment
305d,3,0,1,1,2009,0,0,0,0,1,1,0,0,2,1,1,0,0,2,0,0,1,3,1936517.5,1936517.5,0,2,One time payment
121d,3,0,1,1,2007,0,0,0,0,1,1,0,0,2,1,0,1,0,3,0,0,1,3,2521904,2521904,0,2,One time payment
364d,1,0,1,1,2006,0,0,0,0,1,1,0,0,2,1,0,1,0,3,1,0,0,2,4600000,4600000,1,1,Installment payment
274d,5,0,1,1,2010,0,0,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,2,11700000,11700000,1,1,Installment payment
305d,5,0,1,1,2008,0,0,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,2,14000000,14000000,1,1,Installment payment
516d,5,0,1,1,2010,0,0,0,0,1,0,0,1,3,1,1,0,0,2,1,0,0,2,23000000,23000000,1,1,Installment payment
152d,1,1,0,1,2009,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,35000,35000,0,2,One time payment
334d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,37300,37300,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,132500,132500,0,2,One time payment
79d,1,0,1,1,2009,0,0,0,1,2,0,0,1,1,0,0,0,1,1,1,0,0,2,146868,146868,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,156200,156200,0,2,One time payment
212d,1,0,1,1,2007,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,200000,200000,1,1,Installment payment
181d,3,0,1,1,2008,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,450000,450000,1,1,Installment payment
475d,3,0,1,1,2011,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,600000,600000,1,1,Installment payment
325d,3,0,1,1,2009,0,0,0,1,2,1,0,0,2,1,1,0,0,2,1,0,0,2,2000000,2000000,1,1,Installment payment
382d,7,0,1,1,2010,0,0,0,1,2,1,0,0,2,1,0,0,1,1,0,1,0,1,144400,144400,1,1,Installment payment
211d,3,1,0,1,2008,0,1,1,0,3,1,0,0,2,1,1,0,0,2,1,0,0,2,53528.67,53528.67,0,2,One time payment
